node	mat	pat	mat:pat	color
utig4-0	81	0	81:0	#AAAAAA
utig4-1	72	0	72:0	#AAAAAA
utig4-2	117	0	117:0	#FF8888
utig4-3	63	0	63:0	#AAAAAA
utig4-4	63	0	63:0	#AAAAAA
utig4-5	126	0	126:0	#FF8888
utig4-6	117	0	117:0	#FF8888
utig4-7	126	0	126:0	#FF8888
utig4-8	74	809	74:809	#8888FF
utig4-9	564	3562	564:3562	#FFFF00
utig4-10	569	3571	569:3571	#FFFF00
utig4-11	566	3579	566:3579	#FFFF00
utig4-12	1048	6352	1048:6352	#FFFF00
utig4-13	957	5350	957:5350	#FFFF00
utig4-14	1873	9842	1873:9842	#FFFF00
utig4-15	266	2374	266:2374	#FFFF00
utig4-16	108	1985	108:1985	#8888FF
utig4-17	458	2403	458:2403	#FFFF00
utig4-18	487	2554	487:2554	#FFFF00
utig4-19	691	5145	691:5145	#FFFF00
utig4-20	551	3410	551:3410	#FFFF00
utig4-21	969	4779	969:4779	#FFFF00
utig4-22	556	3712	556:3712	#FFFF00
utig4-23	558	3402	558:3402	#FFFF00
utig4-24	560	3328	560:3328	#FFFF00
utig4-25	549	3165	549:3165	#FFFF00
utig4-26	966	5027	966:5027	#FFFF00
utig4-27	492	2449	492:2449	#FFFF00
utig4-28	485	2575	485:2575	#FFFF00
utig4-29	351	0	351:0	#FF8888
utig4-30	423	0	423:0	#FF8888
utig4-31	12128	0	12128:0	#FF8888
utig4-32	6754	0	6754:0	#FF8888
utig4-33	99	0	99:0	#AAAAAA
utig4-34	171	0	171:0	#FF8888
utig4-35	171	0	171:0	#FF8888
utig4-36	135	0	135:0	#FF8888
utig4-37	66	21	66:21	#AAAAAA
utig4-38	66	21	66:21	#AAAAAA
utig4-39	67	21	67:21	#AAAAAA
utig4-40	234	0	234:0	#FF8888
utig4-41	126	0	126:0	#FF8888
utig4-42	126	0	126:0	#FF8888
utig4-43	11	0	11:0	#AAAAAA
utig4-44	148	0	148:0	#FF8888
utig4-45	72	0	72:0	#AAAAAA
utig4-46	83	0	83:0	#AAAAAA
utig4-47	101	0	101:0	#FF8888
utig4-48	668	0	668:0	#FF8888
utig4-49	690	0	690:0	#FF8888
utig4-50	99	0	99:0	#AAAAAA
utig4-51	940	0	940:0	#FF8888
utig4-52	135	0	135:0	#FF8888
utig4-53	238	0	238:0	#FF8888
utig4-54	85	0	85:0	#AAAAAA
utig4-55	221	0	221:0	#FF8888
utig4-56	230	0	230:0	#FF8888
utig4-57	95	0	95:0	#AAAAAA
utig4-58	207	0	207:0	#FF8888
utig4-59	8706	0	8706:0	#FF8888
utig4-60	5109	0	5109:0	#FF8888
utig4-61	10963	0	10963:0	#FF8888
utig4-62	198	0	198:0	#FF8888
utig4-63	126	0	126:0	#FF8888
utig4-64	126	0	126:0	#FF8888
utig4-65	117	0	117:0	#FF8888
utig4-66	117	0	117:0	#FF8888
utig4-67	135	0	135:0	#FF8888
utig4-68	126	0	126:0	#FF8888
utig4-69	180	0	180:0	#FF8888
utig4-70	162	0	162:0	#FF8888
utig4-71	9009	0	9009:0	#FF8888
utig4-72	7944	0	7944:0	#FF8888
utig4-73	39134	0	39134:0	#FF8888
utig4-74	4752	0	4752:0	#FF8888
utig4-75	4737	0	4737:0	#FF8888
utig4-76	171	0	171:0	#FF8888
utig4-77	50741	5341744	50741:5341744	#8888FF
utig4-78	868	4202	868:4202	#FFFF00
utig4-79	52	576	52:576	#8888FF
utig4-80	4804	279970	4804:279970	#8888FF
utig4-81	54	0	54:0	#AAAAAA
utig4-82	3652	0	3652:0	#FF8888
utig4-83	6256	0	6256:0	#FF8888
utig4-84	608	0	608:0	#FF8888
utig4-85	182	0	182:0	#FF8888
utig4-86	3825	0	3825:0	#FF8888
utig4-87	135	0	135:0	#FF8888
utig4-88	135	0	135:0	#FF8888
utig4-89	135	0	135:0	#FF8888
utig4-90	144	0	144:0	#FF8888
utig4-91	153	0	153:0	#FF8888
utig4-92	135	0	135:0	#FF8888
utig4-93	652	4486	652:4486	#FFFF00
utig4-94	601	3616	601:3616	#FFFF00
utig4-95	126	0	126:0	#FF8888
utig4-96	108	0	108:0	#FF8888
utig4-97	144	0	144:0	#FF8888
utig4-98	135	0	135:0	#FF8888
utig4-99	117	0	117:0	#FF8888
utig4-100	135	0	135:0	#FF8888
utig4-101	144	0	144:0	#FF8888
utig4-102	207	0	207:0	#FF8888
utig4-103	153	0	153:0	#FF8888
utig4-104	198	0	198:0	#FF8888
utig4-105	37647	5	37647:5	#FF8888
utig4-106	152	0	152:0	#FF8888
utig4-107	44239	0	44239:0	#FF8888
utig4-108	459	0	459:0	#FF8888
utig4-109	486	0	486:0	#FF8888
utig4-110	450	0	450:0	#FF8888
utig4-111	486	0	486:0	#FF8888
utig4-112	585	0	585:0	#FF8888
utig4-113	198	0	198:0	#FF8888
utig4-114	138	0	138:0	#FF8888
utig4-115	189	0	189:0	#FF8888
utig4-116	339	0	339:0	#FF8888
utig4-117	331	0	331:0	#FF8888
utig4-118	331	0	331:0	#FF8888
utig4-119	500	0	500:0	#FF8888
utig4-120	216	0	216:0	#FF8888
utig4-121	144	0	144:0	#FF8888
utig4-122	126	0	126:0	#FF8888
utig4-123	153	0	153:0	#FF8888
utig4-124	99	0	99:0	#AAAAAA
utig4-125	180	0	180:0	#FF8888
utig4-126	126	0	126:0	#FF8888
utig4-127	144	0	144:0	#FF8888
utig4-128	153	0	153:0	#FF8888
utig4-129	207	0	207:0	#FF8888
utig4-130	153	0	153:0	#FF8888
utig4-131	99	0	99:0	#AAAAAA
utig4-132	90	0	90:0	#AAAAAA
utig4-133	189	0	189:0	#FF8888
utig4-134	216	0	216:0	#FF8888
utig4-135	146	0	146:0	#FF8888
utig4-136	135	0	135:0	#FF8888
utig4-137	144	0	144:0	#FF8888
utig4-138	153	0	153:0	#FF8888
utig4-139	153	0	153:0	#FF8888
utig4-140	153	0	153:0	#FF8888
utig4-141	153	0	153:0	#FF8888
utig4-142	153	0	153:0	#FF8888
utig4-143	171	0	171:0	#FF8888
utig4-144	153	0	153:0	#FF8888
utig4-145	126	0	126:0	#FF8888
utig4-146	108	0	108:0	#FF8888
utig4-147	108	0	108:0	#FF8888
utig4-148	63	0	63:0	#AAAAAA
utig4-149	455	2190	455:2190	#FFFF00
utig4-150	858	4017	858:4017	#FFFF00
utig4-151	487	2792	487:2792	#FFFF00
