node	coverage	length
utig4-0	54.00	4851
utig4-1	3.94	4424
utig4-2	5.30	7571
utig4-3	1.00	4160
utig4-4	2.77	3881
utig4-5	2.69	14635
utig4-6	1.00	7427
utig4-7	2.74	14234
utig4-8	39.14	9554
utig4-9	10.18	39316
utig4-10	4.75	26029
utig4-11	5.23	24286
utig4-12	7.86	65319
utig4-13	9.50	19636
utig4-14	10.09	59601
utig4-16	8.58	10984
utig4-19	8.00	29154
utig4-20	9.00	18196
utig4-21	8.05	39548
utig4-22	4.74	12567
utig4-23	8.50	16809
utig4-24	10.00	25191
utig4-25	7.00	22216
utig4-26	4.89	45821
utig4-28	5.25	23335
utig4-29	12.08	8176
utig4-30	6.54	11368
utig4-31	17.30	522337
utig4-32	17.12	261909
utig4-33	2.12	10655
utig4-34	1.71	11055
utig4-35	3.88	11126
utig4-36	1.88	8340
utig4-40	2.69	30163
utig4-41	1.91	8034
utig4-42	1.00	7841
utig4-44	5.42	59605
utig4-45	4.00	9667
utig4-46	2.00	6089
utig4-48	9.00	104837
utig4-49	11.40	9477
utig4-50	2.16	6309
utig4-51	2.34	63640
utig4-52	2.71	12324
utig4-53	3.39	15166
utig4-54	4.80	2808
utig4-55	3.13	7548
utig4-56	23.50	7845
utig4-57	1.97	11538
utig4-58	2.18	23452
utig4-61	24.00	22284
utig4-62	3.95	20102
utig4-63	2.79	7959
utig4-64	5.83	7953
utig4-65	1.00	7211
utig4-66	4.68	7298
utig4-67	2.00	16669
utig4-68	2.99	7893
utig4-69	2.85	16865
utig4-70	2.82	23584
utig4-71	9.64	48122
utig4-73	9.30	177106
utig4-76	3.28	16408
utig4-77	33.73	30333458
utig4-80	31.54	1590094
utig4-81	2.00	2207
utig4-82	17.97	125813
utig4-83	18.55	240139
utig4-84	1.50	5247
utig4-85	2.41	12318
utig4-86	16.70	170937
utig4-87	9.92	8418
utig4-88	2.22	14624
utig4-89	2.00	8365
utig4-90	1.00	9117
utig4-91	1.00	9609
utig4-92	1.00	8380
utig4-93	8.50	19185
utig4-94	1.49	12980
utig4-95	7.82	7953
utig4-96	1.00	7188
utig4-97	4.37	17539
utig4-98	4.94	8523
utig4-99	3.67	7466
utig4-100	2.00	8564
utig4-101	4.23	9059
utig4-102	3.34	43230
utig4-103	2.35	18699
utig4-104	2.62	24616
utig4-105	17.96	1333786
utig4-106	2.97	22894
utig4-107	21.80	1079310
utig4-111	2.69	10218
utig4-112	2.66	17334
utig4-113	12.00	12548
utig4-114	5.64	10425
utig4-115	1.74	19283
utig4-116	19.23	16213
utig4-117	2.73	8159
utig4-118	18.92	8160
utig4-119	4.27	19962
utig4-120	1.85	13892
utig4-121	4.67	9421
utig4-122	3.00	7999
utig4-123	6.45	9680
utig4-124	4.84	6181
utig4-125	4.01	18320
utig4-126	1.00	8109
utig4-127	3.89	8990
utig4-128	2.25	1349
utig4-129	1.80	25843
utig4-130	2.63	15793
utig4-131	1.49	12160
utig4-132	1.00	5621
utig4-133	1.89	9531
utig4-134	2.46	25468
utig4-135	1.72	5640
utig4-136	1.95	8389
utig4-137	1.00	9135
utig4-138	7.11	9666
utig4-139	2.00	9531
utig4-140	1.88	9755
utig4-141	2.70	9589
utig4-142	1.00	9587
utig4-143	1.34	17259
utig4-144	2.80	25936
utig4-145	1.97	7810
utig4-146	3.00	6967
utig4-147	3.34	11966
utig4-148	1.00	4018
utig4-153	3.00	12295
utig4-154	1.78	19603
utig4-155	1.00	8942
utig4-156	1.00	8978
utig4-157	5.83	18087
utig4-163	4.89	7189
utig4-165	2.79	10070
utig4-166	4.95	33746
utig4-167	6.50	12924
utig4-168	16.43	12301
utig4-171	2.44	19727
utig4-179	14.83	47924
utig4-180	1.00	8193
utig4-182	9.68	13415
utig4-184	18.45	85026
utig4-185	1.79	2988
utig4-186	17.49	980895
utig4-187	2.12	15462
utig4-188	15.61	9923
utig4-189	19.30	32842
utig4-191	6.00	12453
utig4-192	2.99	8882
utig4-193	2.00	9457
utig4-194	3.27	8954
utig4-195	7.66	14410
utig4-196	2.39	9961
utig4-197	17.50	8116
utig4-199	6.24	18243
utig4-200	11.50	14097
utig4-201	2.00	3004
utig4-202	3.00	16587
utig4-203	2.42	27378
utig4-204	2.33	15540
utig4-205	1.00	9861
utig4-206	1.20	9052
utig4-207	7.50	13799
utig4-208	2.26	9865
utig4-209	2.22	10052
utig4-210	1.00	10888
utig4-211	1.48	19988
utig4-212	2.57	10373
utig4-213	6.70	1
utig4-214	3.39	29962
utig4-217	3.87	38766
utig4-219	1.00	9122
utig4-220	3.42	9097
utig4-222	4.27	18372
utig4-223	2.25	20982
utig4-224	1.00	11509
utig4-225	3.29	20280
utig4-226	1.00	10065
utig4-227	1.00	10688
utig4-228	1.00	10602
utig4-229	20.24	1818584
utig4-230	19.23	53377
utig4-231	1.50	7028
utig4-232	8.49	10237
utig4-233	2.99	9094
utig4-234	17.67	9094
utig4-235	14.98	9664
utig4-236	10.00	9664
utig4-237	4.01	63401
utig4-238	9.92	9705
utig4-239	11.95	10234
utig4-240	2.96	44764
utig4-241	15.86	10715
utig4-242	2.74	23304
utig4-243	3.32	20985
utig4-244	1.00	12047
utig4-245	4.34	38438
utig4-246	15.94	10152
utig4-247	16.74	145163
utig4-248	18.10	49462
utig4-249	9.61	9693
utig4-250	2.00	2032
utig4-251	19.39	1
utig4-252	21.14	1323448
